Id_pagina_ex;tags;Qtd
16;div;88
16;a;72
16;span;61
16;li;40
16;i;21
16;meta;20
16;script;20
16;link;13
16;h2;13
16;img;12
16;strong;12
16;ul;3
16;style;2
16;html;1
16;head;1
16;title;1
16;body;1
16;header;1
16;form;1
16;input;1
16;button;1
16;h1;1
15;div;314
15;a;285
15;span;53
15;li;50
15;img;50
15;i;29
15;script;17
15;link;8
15;br;8
15;ul;5
15;td;5
15;meta;4
15;tr;3
15;button;2
15;table;2
15;html;1
15;head;1
15;title;1
15;body;1
15;input;1
15;form;1
15;textarea;1
14;div;123
14;span;100
14;a;91
14;li;39
14;i;25
14;img;21
14;strong;20
14;h2;20
14;meta;19
14;script;19
14;link;12
14;button;4
14;ul;4
14;style;3
14;html;1
14;head;1
14;title;1
14;body;1
14;header;1
14;form;1
14;input;1
14;h1;1
13;div;246
13;a;161
13;span;52
13;br;51
13;img;44
13;script;21
13;p;13
13;h4;10
13;li;8
13;link;7
13;h2;7
13;meta;5
13;i;3
13;ins;3
13;style;2
13;button;2
13;ul;2
13;input;2
13;html;1
13;head;1
13;title;1
13;body;1
13;header;1
13;nav;1
13;form;1
13;strong;1
13;small;1
13;hr;1
13;footer;1
13;select;1
12;div;857
12;a;471
12;i;125
12;img;97
12;span;96
12;small;85
12;script;21
12;meta;14
12;br;11
12;h4;8
12;link;3
12;ins;2
12;html;1
12;head;1
12;title;1
12;body;1
12;input;1
12;blockquote;1
11;link;11
11;meta;9
11;script;6
11;noscript;2
11;html;1
11;head;1
11;title;1
11;body;1
11;iframe;1
11;strong;1
11;div;1
10;a;92
10;li;61
10;div;57
10;link;51
10;script;24
10;meta;19
10;img;17
10;span;15
10;ul;10
10;h3;6
10;input;5
10;nav;2
10;p;2
10;form;2
10;label;2
10;html;1
10;head;1
10;title;1
10;noscript;1
10;iframe;1
10;body;1
10;strong;1
10;ol;1
10;footer;1
10;br;1
10;aside;1
9;div;300
9;a;80
9;span;50
9;img;26
9;meta;9
9;script;7
9;li;3
9;link;2
9;input;2
9;html;1
9;head;1
9;title;1
9;body;1
9;form;1
9;ul;1
9;style;1
8;a;501
8;li;229
8;span;170
8;i;168
8;div;162
8;h3;89
8;img;77
8;ul;57
8;td;47
8;meta;18
8;script;16
8;tr;16
8;link;8
8;p;6
8;input;2
8;html;1
8;head;1
8;title;1
8;body;1
8;header;1
8;form;1
8;nav;1
8;h1;1
8;h2;1
8;table;1
8;tbody;1
8;footer;1
8;b;1
7;div;155
7;a;115
7;li;72
7;img;34
7;h2;32
7;meta;20
7;span;17
7;link;12
7;script;11
7;ul;10
7;br;9
7;input;9
7;center;4
7;style;3
7;form;3
7;p;3
7;h1;2
7;h3;2
7;html;1
7;head;1
7;title;1
7;body;1
7;header;1
7;nav;1
7;button;1
7;svg;1
7;path;1
7;font;1
7;b;1
7;footer;1
6;div;175
6;a;161
6;span;63
6;li;56
6;article;51
6;img;51
6;h3;51
6;meta;15
6;script;13
6;link;12
6;ul;7
6;header;5
6;b;5
6;i;5
6;h2;4
6;p;3
6;form;2
6;input;2
6;button;2
6;html;1
6;head;1
6;title;1
6;body;1
6;h1;1
6;aside;1
6;nav;1
6;footer;1
5;div;191
5;a;119
5;li;51
5;img;43
5;span;41
5;i;40
5;ul;23
5;meta;15
5;script;15
5;link;12
5;b;6
5;p;6
5;h4;6
5;br;5
5;form;3
5;input;3
5;button;3
5;h1;3
5;iframe;3
5;center;3
5;html;1
5;head;1
5;title;1
5;body;1
5;section;1
4;a;385
4;li;335
4;i;329
4;span;327
4;div;254
4;script;71
4;link;40
4;p;33
4;input;28
4;ul;22
4;meta;21
4;h5;10
4;br;10
4;style;8
4;img;7
4;label;7
4;form;5
4;button;5
4;ins;3
4;wpdtip;3
4;h1;3
4;h4;2
4;strong;2
4;html;1
4;head;1
4;title;1
4;noscript;1
4;body;1
4;header;1
4;nav;1
4;h3;1
4;blockquote;1
4;hr;1
4;b;1
4;footer;1
3;span;756
3;div;685
3;a;515
3;p;169
3;img;155
3;option;116
3;li;86
3;small;32
3;button;18
3;meta;15
3;script;15
3;strong;15
3;ul;14
3;link;13
3;h6;7
3;select;6
3;label;6
3;input;5
3;nav;4
3;form;4
3;h3;2
3;h5;2
3;html;1
3;head;1
3;title;1
3;body;1
3;noscript;1
3;iframe;1
3;hr;1
3;br;1
3;textarea;1
3;footer;1
2;a;547
2;div;507
2;img;418
2;li;221
2;noscript;206
2;td;157
2;span;103
2;path;79
2;tr;75
2;ul;55
2;svg;54
2;b;40
2;script;36
2;stop;34
2;th;32
2;p;27
2;defs;22
2;use;22
2;table;20
2;br;19
2;meta;17
2;link;17
2;g;13
2;section;9
2;lineargradient;8
2;h3;7
2;nav;4
2;header;4
2;i;4
2;rect;4
2;h2;3
2;figure;3
2;button;2
2;h1;2
2;hr;2
2;big;2
2;figcaption;2
2;footer;2
2;mask;2
2;image;2
2;html;1
2;head;1
2;title;1
2;style;1
2;body;1
2;form;1
2;input;1
2;article;1
2;iframe;1
2;center;1
2;circle;1
1;a;328
1;span;328
1;div;284
1;li;243
1;i;93
1;img;80
1;ul;79
1;h4;79
1;meta;28
1;link;21
1;script;20
1;h3;3
1;style;2
1;button;2
1;p;2
1;html;1
1;head;1
1;base;1
1;title;1
1;body;1
1;br;1
1;form;1
1;input;1
1;small;1
1;center;1
1;h1;1
